Nodes,tasks-per-node,ntasks,threads-per-task,threads,time-ex1,time-ex2,time-ex3,calculated_speedup,avg-time,speedup,efficiency
1,48,8,1,8,2250.55,2272.78,2244.65,8,2255.99,1.0000,0.1250
4,2,8,24,192,145.07,145.21,144.83,191.98,145.04,15.5546,0.0810
4,3,12,16,192,114.24,113.15,114.17,191.71,113.85,19.8149,0.1032
4,4,16,12,192,111.07,111.07,112.13,191.96,111.42,20.2470,0.1055
4,6,24,8,192,99.93,101.67,100.83,191.63,100.81,22.3787,0.1166
4,8,32,6,192,106.23,106.48,106.68,191.88,106.46,21.1903,0.1104
4,12,48,4,192,99.64,98.13,98.49,190.73,98.75,22.8447,0.1190
4,24,96,2,192,98.55,98.84,98.5,190.36,98.63,22.8733,0.1191
4,48,192,1,192,100.4,100.46,100.06,187.17,100.31,22.4910,0.1171
6,2,12,24,288,97.53,98.39,97.45,287.57,97.79,23.0698,0.0801
6,3,18,16,288,76.79,76.2,78.02,287.82,77.00,29.2973,0.1017
6,4,24,12,288,74.85,75.39,75.09,287.44,75.11,30.0359,0.1043
6,6,36,8,288,67.74,68.2,67.61,286.76,67.85,33.2497,0.1155
6,8,48,6,288,71.92,71.89,71.62,286.1,71.81,31.4161,0.1091
6,12,72,4,288,66.62,66.66,66.62,284.9,66.63,33.8568,0.1176
6,24,144,2,288,67.02,67.22,67.19,281.71,67.14,33.5997,0.1167
6,48,288,1,288,69.52,69.63,69.57,277.4,69.57,32.4261,0.1126
8,2,16,24,384,73.58,73.21,73.24,383.92,73.34,30.7594,0.0801
8,3,24,16,384,58.02,59.49,58.59,383.26,58.70,38.4326,0.1001
8,4,32,12,384,56.34,56.32,56.31,383.75,56.32,40.0543,0.1043
8,6,48,8,384,51.22,51.12,51.11,381.46,51.15,44.1054,0.1149
8,8,64,6,384,54.16,54.22,54.12,383.28,54.17,41.6491,0.1085
8,12,96,4,384,50.51,50.55,50.34,380.72,50.47,44.7026,0.1164
8,24,192,2,384,51.2,51.25,51.07,374.33,51.17,44.0853,0.1148
8,48,384,1,384,69.37,69.54,70.49,277.4,69.80,32.3208,0.0842
