Nodes,tasks-per-node,ntasks,threads-per-task,threads,time-ex1,time-ex2,time-ex3,calculated_speedup,avg-time,speedup,efficiency
1,48,8,1,8,1119.9,1145.85,1147.1,8,1137.62,1.00,0.1250
4,2,8,24,192,88.71,89.13,91.13,192,89.66,12.69,0.0661
4,3,12,16,192,78.74,79.8,79.47,190.51,79.34,14.34,0.0747
4,4,16,12,192,66.35,66.6,66.31,192,66.42,17.13,0.0892
4,6,24,8,192,66.35,58.53,56.6,190.51,60.49,18.81,0.0979
4,8,32,6,192,57.25,57.44,57.47,192,57.39,19.82,0.1032
4,12,48,4,192,53.59,53.32,53.71,186.18,53.54,21.25,0.1107
4,24,96,2,192,57.89,58.02,58.04,186.18,57.98,19.62,0.1022
4,48,192,1,192,75.2,74.84,74.36,170.67,74.80,15.21,0.0792
6,2,12,24,288,60.16,59.86,60.11,285.77,60.04,18.95,0.0658
6,3,18,16,288,55.46,54.34,54.4,287.44,54.73,20.78,0.0722
6,4,24,12,288,42.95,42.7,42.92,285.77,42.86,26.54,0.0922
6,6,36,8,288,40.23,39.79,40.03,282.48,40.02,28.43,0.0987
6,8,48,6,288,39.58,39.44,41.66,279.27,40.23,28.28,0.0982
6,12,72,4,288,37.41,37.44,37.31,273.07,37.39,30.43,0.1057
6,24,144,2,288,42.87,43.33,43.01,256,43.07,26.41,0.0917
6,48,288,1,288,51.73,52.1,51.85,256,51.89,21.92,0.0761
8,2,16,24,384,45.65,45.55,45.91,384,45.70,24.89,0.0648
8,3,24,16,384,41.31,40.77,41.45,381.02,41.18,27.63,0.0719
8,4,32,12,384,33.65,33.47,33.58,384,33.57,33.89,0.0883
8,6,48,8,384,30.69,30.54,30.8,372.36,30.68,37.08,0.0966
8,8,64,6,384,29.05,29.04,29.13,384,29.07,39.13,0.1019
8,12,96,4,384,27.29,27.2,27.15,372.36,27.21,41.80,0.1089
8,24,192,2,384,32.14,32.38,32.49,341.33,32.34,35.18,0.0916
8,48,384,1,384,39.28,39.63,39.29,341.33,39.40,28.87,0.0752
