JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27987923|6-00:50:25|384|384|4038.93K||bt-mz|00:33:09|
27987923.batch|00:01.653|48|48|588.53K|2100000K|batch|00:33:09|
27987923.extern|00:00.009|384|384|4038.93K|16800000K|extern|00:33:09|
27987923.0|07:48:18|192|192|172.54K|1906K|bt-mz.D.8|00:02:28|
27987923.1|06:03:54|192|192|143.37K|3941K|bt-mz.D.12|00:01:55|
27987923.2|05:57:56|192|192|139.99K|4348K|bt-mz.D.16|00:01:54|
27987923.3|05:25:56|192|192|132.45K|13760K|bt-mz.D.24|00:01:45|
27987923.4|05:43:01|192|192|139.16K|25078K|bt-mz.D.32|00:01:48|
27987923.5|05:16:12|192|192|136.15K|39220K|bt-mz.D.48|00:01:40|
27987923.6|05:18:27|192|192|141.32K|160328K|bt-mz.D.96|00:01:40|
27987923.7|05:24:05|192|192|146.86K|1056654K|bt-mz.D.192|00:01:44|
27987923.8|07:56:04|288|288|174.11K|1732K|bt-mz.D.12|00:01:40|
27987923.9|06:08:52|288|288|146.21K|3848K|bt-mz.D.18|00:01:17|
27987923.10|06:04:24|288|288|142.85K|8663K|bt-mz.D.24|00:01:16|
27987923.11|05:29:38|288|288|134.56K|31144K|bt-mz.D.36|00:01:11|
27987923.12|05:47:44|288|288|141.85K|43322K|bt-mz.D.48|00:01:14|
27987923.13|05:22:06|288|288|137.31K|45789K|bt-mz.D.72|00:01:09|
27987923.14|05:24:58|288|288|142.87K|174367K|bt-mz.D.144|00:01:09|
27987923.15|05:37:08|288|288|150.50K|999468K|bt-mz.D.288|00:01:11|
27987923.16|07:52:45|384|384|174.44K|24498K|bt-mz.D.16|00:01:14|
27987923.17|06:21:15|384|384|151.50K|54220K|bt-mz.D.24|00:01:01|
27987923.18|06:03:08|384|384|125.80K|171041K|bt-mz.D.32|00:00:59|
27987923.19|05:29:46|384|384|135.78K|265817K|bt-mz.D.48|00:00:53|
27987923.20|05:49:22|384|384|143.62K|181220K|bt-mz.D.64|00:00:55|
27987923.21|05:25:44|384|384|139.51K|1139891K|bt-mz.D.96|00:00:53|
27987923.22|05:30:29|384|384|145.66K|4129630K|bt-mz.D.192|00:00:53|
27987923.23|07:29:02|384|384|188.05K|7296033K|bt-mz.D.384|00:01:13|
