JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27987928|3-17:00:08|384|384|2818.51K||sp-mz|00:20:35|
27987928.batch|00:01.646|48|48|429.70K|2100000K|batch|00:20:35|
27987928.extern|00:00.009|384|384|2818.51K|16800000K|extern|00:20:35|
27987928.0|04:55:04|192|192|118.00K|2863K|sp-mz.D.8|00:01:33|
27987928.1|04:16:12|192|192|110.24K|8290K|sp-mz.D.12|00:01:24|
27987928.2|03:33:55|192|192|93.47K|8415K|sp-mz.D.16|00:01:08|
27987928.3|03:02:35|192|192|86.11K|18566K|sp-mz.D.24|00:00:57|
27987928.4|03:05:11|192|192|89.16K|81731K|sp-mz.D.32|00:00:59|
27987928.5|02:53:38|192|192|87.31K|44885K|sp-mz.D.48|00:00:55|
27987928.6|03:07:07|192|192|103.31K|238811K|sp-mz.D.96|00:01:00|
27987928.7|03:59:52|192|192|129.74K|1813472K|sp-mz.D.192|00:01:16|
27987928.8|04:52:00|288|288|115.39K|4260K|sp-mz.D.12|00:01:01|
27987928.9|04:24:07|288|288|111.80K|11379K|sp-mz.D.18|00:00:56|
27987928.10|03:27:55|288|288|90.49K|12577K|sp-mz.D.24|00:00:44|
27987928.11|03:14:05|288|288|88.89K|20447K|sp-mz.D.36|00:00:42|
27987928.12|03:21:26|288|288|94.09K|42030K|sp-mz.D.48|00:00:42|
27987928.13|03:00:25|288|288|91.29K|182675K|sp-mz.D.72|00:00:39|
27987928.14|03:28:02|288|288|110.75K|484631K|sp-mz.D.144|00:00:45|
27987928.15|04:11:15|288|288|132.70K|2296625K|sp-mz.D.288|00:00:53|
27987928.16|04:56:26|384|384|117.40K|37550K|sp-mz.D.16|00:00:48|
27987928.17|04:28:10|384|384|113.88K|59468K|sp-mz.D.24|00:00:42|
27987928.18|03:37:14|384|384|93.83K|109786K|sp-mz.D.32|00:00:35|
27987928.19|03:18:37|384|384|90.64K|336256K|sp-mz.D.48|00:00:34|
27987928.20|03:07:45|384|384|89.70K|16951128K|sp-mz.D.64|00:00:32|
27987928.21|02:55:10|384|384|90.12K|20674144K|sp-mz.D.96|00:00:28|
27987928.22|03:29:40|384|384|111.66K|1362240K|sp-mz.D.192|00:00:34|
27987928.23|04:14:04|384|384|134.71K|16534506K|sp-mz.D.384|00:00:42|
